"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","number"
229089207,"6/3/21","13:10:00","BRONX",47,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1028386,257476,40.87328446,-73.84041216,701
226803363,"4/11/21","03:00:00","BROOKLYN",77,0,"",FALSE,"","","","25-44","M","BLACK",998039,184139,40.67209324,-73.95029287,631
228299908,"5/17/21","23:05:00","BROOKLYN",73,0,"",TRUE,"","","","25-44","F","BLACK",1006906,183999,40.67169072,-73.91832832,631
228917763,"5/31/21","22:29:00","MANHATTAN",25,0,"",FALSE,"25-44","M","BLACK","<18","M","BLACK",1001312,231864,40.80308081,-73.93837286,343
233468974,"9/13/21","03:55:00","BRONX",41,0,"",FALSE,"","","","<18","M","BLACK",1016614,234651,40.81068756,-73.88308807,701
232733332,"8/25/21","15:50:00","STATEN ISLAND",120,0,"BEAUTY/NAIL SALON",FALSE,"","","","<18","F","WHITE HISPANIC",962505,171812,40.63824236,-74.07835119,40
234482345,"10/2/21","03:21:00","QUEENS",100,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","25-44","F","BLACK",1037554,154246,40.58989373,-73.8080799,296
225832570,"3/18/21","16:10:00","QUEENS",107,0,"",FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",1037559,207802,40.7368927,-73.80763845,296
223827862,"2/1/21","22:20:00","BRONX",48,0,"MULTI DWELL - APT BUILD",FALSE,"<18","M","WHITE HISPANIC","25-44","F","BLACK HISPANIC",1013207,249659,40.85189201,-73.8953309,701
231941262,"8/7/21","14:07:00","BROOKLYN",77,0,"",FALSE,"","","","18-24","M","BLACK",1004068,182079,40.66642756,-73.92856473,631
